estado,receita,pedidos,clientes,participacao_pct
AM,79474.67,240,4,8.18
TO,71055.63,235,4,7.31
PA,70003.51,226,4,7.2
AC,69833.78,190,3,7.19
SP,60898.63,180,3,6.27
RS,60727.1,203,3,6.25
GO,57898.59,169,3,5.96
MT,57431.13,164,3,5.91
MG,51955.58,110,2,5.35
CE,49133.23,171,3,5.06
SE,44631.43,174,3,4.59
AL,44340.2,143,2,4.56
MA,38173.2,123,2,3.93
MS,37081.14,116,2,3.82
ES,34087.97,133,2,3.51
DF,26687.99,77,1,2.75
RR,26091.64,81,1,2.68
RJ,24750.17,50,1,2.55
PB,20861.16,59,1,2.15
PE,19024.24,68,1,1.96
AP,14425.28,60,1,1.48
PR,13316.83,48,1,1.37
