id_produto,nome_produto,categoria,preco_atual,preco_medio_concorrencia,menor_preco_concorrencia,maior_preco_concorrencia,concorrentes,indice_preco,posicao,receita
prd_f325ffd3f299,Tênis Adidas Samba,Tênis,43.9,21.95,21.95,21.95,4,2.0,Mais caro que todos,0.0
prd_fcd221b5cb48,Tênis Puma Future,Tênis,123.99,61.99,61.99,61.99,4,2.0,Mais caro que todos,0.0
prd_4327485950d4,Tênis Nike Revolution,Tênis,105.9,52.95,52.95,52.95,4,2.0,Mais caro que todos,0.0
prd_c4c05e57d1ff,Tênis Nike Dunk,Tênis,95.9,47.95,47.95,47.95,4,2.0,Mais caro que todos,0.0
prd_1317c4a1f775,Tênis Puma Speedcat,Tênis,451.9,225.95,225.95,225.95,4,2.0,Mais caro que todos,0.0
prd_4219bde6f03a,Tênis Nike Air Max,Tênis,68.99,34.49,34.49,34.49,3,2.0,Mais caro que todos,0.0
prd_f4d216bbeb27,Tênis Puma Future,Tênis,67.9,33.95,33.95,33.95,3,2.0,Mais caro que todos,0.0
prd_225ae25e0a4f,Tênis Puma Suede,Tênis,404.5,202.25,202.25,202.25,4,2.0,Mais caro que todos,0.0
prd_c632a36ece80,Tênis Nike Air Max,Tênis,64.9,32.45,32.45,32.45,3,2.0,Mais caro que todos,0.0
prd_1757e5a44e02,Tênis Nike Blazer,Tênis,37.9,18.95,18.95,18.95,4,2.0,Mais caro que todos,0.0
prd_d5b7bdafd562,Tênis Adidas Stan Smith,Tênis,197.9,98.95,98.95,98.95,3,2.0,Mais caro que todos,0.0
prd_39484d5e0b36,Tênis Nike Revolution,Tênis,69.9,34.95,34.95,34.95,4,2.0,Mais caro que todos,0.0
prd_da5c2c38df2e,Tênis Nike Court,Tênis,31.9,15.95,15.95,15.95,3,2.0,Mais caro que todos,0.0
prd_d17f09896254,Tênis Nike Revolution,Tênis,174.9,87.45,87.45,87.45,4,2.0,Mais caro que todos,0.0
prd_face62224c50,Tênis Adidas Stan Smith,Tênis,38.99,19.5,19.5,19.5,4,2.0,Mais caro que todos,0.0
prd_d22d1b8b1502,Camisa Social,Moda,1149.9,1075.16,1057.91,1092.4,2,1.07,Mais caro que todos,115794.92
prd_0347eab01a6c,Memória RAM 8GB,Informática,626.0,585.31,575.92,594.7,4,1.07,Mais caro que todos,9202.2
prd_b2fdb7f36a3f,Blusa de Algodão,Moda,52.99,49.54,48.75,50.34,2,1.07,Mais caro que todos,442.46
prd_5112469132ff,Placa Mãe B450,Informática,413.5,388.69,380.42,392.82,3,1.06,Mais caro que todos,3535.41
prd_052f1c397fc6,Carteira de Couro,Acessórios,66.99,62.97,61.63,65.65,3,1.06,Mais caro que todos,482.33
prd_6212ac3178f2,Óculos de Natação,Esporte,144.9,137.3,133.31,149.25,4,1.06,Intermediário,1369.33
prd_289cf61bbd5e,Porta-moedas,Acessórios,100.5,95.47,92.46,98.49,3,1.05,Mais caro que todos,793.94
prd_4ee65ed59110,Frigideira Antiaderente,Cozinha,41.9,39.8,39.8,39.8,1,1.05,Mais caro que todos,5061.36
prd_6b1b9c7303d5,Peneira Inox,Cozinha,765.99,727.69,727.69,727.69,2,1.05,Mais caro que todos,4557.64
prd_db8fc9e6fa53,Paleta de Sombras,Beleza,1420.99,1349.94,1307.31,1392.57,4,1.05,Mais caro que todos,10870.57
prd_06c19781c3db,Assadeira de Vidro,Cozinha,100.9,95.86,92.83,98.88,3,1.05,Mais caro que todos,585.22
prd_ab011325c1be,Suporte para Controle,Games,31.99,30.39,29.43,31.35,4,1.05,Mais caro que todos,220.73
prd_5ae195cb554b,Microfone para Stream,Games,58.5,55.58,53.82,57.33,2,1.05,Mais caro que todos,175.5
prd_c9b4024b7b9e,Toca-discos USB,Áudio,95.5,91.2,87.86,95.5,4,1.05,Intermediário,1346.52
prd_9120195f0253,Mouse Pad Gamer,Informática,126.99,121.49,116.83,126.99,3,1.04,Intermediário,0.0
prd_1091c2cfe1e9,Edredom Casal,Casa,425.9,408.86,404.6,417.38,3,1.04,Mais caro que todos,4557.12
prd_fb32df842fbd,Vestido Floral,Moda,92.9,89.18,85.47,92.9,2,1.04,Intermediário,1170.54
prd_1649b8a625e4,Fone de Ouvido Bluetooth,Áudio,99.0,95.04,94.05,97.02,3,1.04,Mais caro que todos,564.3
