marca,receita,itens,participacao_pct
Brastemp,161012.51,384,16.57
Consul,128622.39,226,13.23
Xiaomi,100598.85,450,10.35
Asus,94236.36,345,9.7
Sony,60184.38,343,6.19
Motorola,58604.13,184,6.03
Apple,45403.32,235,4.67
Samsung,44897.5,254,4.62
Electrolux,44490.31,163,4.58
LG,33985.33,181,3.5
Adidas,31439.75,199,3.23
Philips,29782.21,401,3.06
Mondial,28813.48,204,2.96
Acer,21316.03,135,2.19
Lenovo,20385.43,46,2.1
Arno,17860.54,169,1.84
Nike,17764.92,148,1.83
O Boticário,14061.8,110,1.45
Dell,12729.26,117,1.31
Sem cadastro,4240.01,25,0.44
Puma,1454.59,3,0.15
