id_produto,nome_produto,categoria,preco_atual,preco_medio_vendido,desconto_pct
prd_0b790b565ff2,Mixer de Áudio,Áudio,107.99,91.79,15.0
prd_295160cbf171,Controle Xbox,Games,310.9,283.26,8.89
prd_3dd1d39581ca,Halteres Ajustáveis,Esporte,52.99,48.57,8.33
prd_92c4758afec3,Vestido Floral,Moda,325.9,301.46,7.5
prd_b2fdb7f36a3f,Blusa de Algodão,Moda,52.99,49.2,7.14
prd_7af81d9a08ba,Controle PlayStation,Games,49.99,46.42,7.14
prd_e3934c71bd0c,Meia Esportiva,Esporte,391.9,364.47,7.0
prd_11a9489c4c86,Porta-retrato,Casa,74.99,69.74,7.0
prd_7a89c1a36f9e,Mesa para Notebook,Informática,519.5,484.86,6.67
prd_2befc441dd56,Bicicleta Ergométrica,Esporte,228.99,214.27,6.43
prd_e772a9cda46d,Blusa de Algodão,Moda,36.9,34.59,6.25
prd_89d76b194110,Travesseiro Ortopédico,Casa,179.99,168.74,6.25
prd_622325b011e6,Iluminador para Stream,Games,323.9,304.47,6.0
prd_5437b387f602,Webcam 1080p,Informática,227.9,214.61,5.83
prd_223c9b6a0a76,Luminária de Mesa,Casa,81.99,77.26,5.77
prd_305f920b8836,Brincos de Prata,Acessórios,935.5,882.04,5.71
prd_206eacaa3048,Joystick Arcade,Games,116.99,110.3,5.71
prd_dd8079e89b90,Porta-retrato,Casa,84.9,80.13,5.62
prd_3bee9877eb80,Rádio AM/FM,Áudio,45.5,43.0,5.5
prd_5744e3f88341,Jarra de Vidro,Cozinha,192.9,182.29,5.5
prd_c9b4024b7b9e,Toca-discos USB,Áudio,95.5,90.32,5.42
prd_9d1aea4d28ae,Pesos de Pulso,Esporte,1324.9,1258.66,5.0
prd_b76e68fde5cb,Perfume 100ml,Beleza,457.9,435.0,5.0
prd_ef0b5e05efef,Creme Hidratante,Beleza,247.9,235.5,5.0
prd_31b74a170d35,Saia Midi,Moda,72.9,69.26,5.0
prd_d8ec0b81e223,Toca-discos USB,Áudio,371.9,353.3,5.0
prd_f7ed5522d23e,Macacão Feminino,Moda,242.9,230.75,5.0
prd_6742b65088d8,Porta-temperos,Cozinha,41.99,39.89,5.0
prd_f8e027f417be,Placa Mãe B450,Informática,180.9,171.85,5.0
prd_1649b8a625e4,Fone de Ouvido Bluetooth,Áudio,99.0,94.05,5.0
prd_032c166122f7,Controle Xbox,Games,219.9,208.91,5.0
prd_7dd7624b4d5f,Fone de Ouvido com Fio,Áudio,297.9,283.0,5.0
prd_c708b046fef8,Halteres Ajustáveis,Esporte,46.0,43.7,5.0
prd_6212ac3178f2,Óculos de Natação,Esporte,144.9,137.66,5.0
prd_db8fc9e6fa53,Paleta de Sombras,Beleza,1420.99,1349.94,5.0
prd_f063f46a7ef8,Fone de Ouvido Esportivo,Áudio,1428.99,1358.26,4.95
prd_38c1b898aecc,Microfone para Stream,Games,140.9,134.32,4.67
prd_5a6fd66e1c00,Vestido Casual,Moda,112.9,107.73,4.58
prd_3053916502fb,Cabo USB-C,Eletrônicos,448.5,428.32,4.5
prd_2bf8388221ea,Mouse Gamer RGB,Games,49.99,47.77,4.45
prd_6ae727ee4463,Placa Mãe B450,Informática,74.0,70.71,4.44
prd_ebb0865fc95d,Fone Gamer RGB,Áudio,175.99,168.29,4.38
prd_82cd17cb589d,Persiana Vertical,Casa,44.9,42.97,4.29
prd_6eca734f2e84,Edredom Casal,Casa,227.99,218.22,4.29
prd_76ede0cece8f,Óculos de Natação,Esporte,58.0,55.51,4.29
prd_2cbafff50c72,Sabonete Facial,Beleza,100.9,96.62,4.24
prd_9a3dfc23b7a3,Relógio Analógico,Acessórios,105.5,101.03,4.23
prd_045813f96891,Cardigan de Lã,Moda,142.99,136.99,4.19
prd_9b4e39e312d9,Carteira de Couro,Acessórios,1287.99,1234.32,4.17
prd_b17460641fb4,Garrafa Térmica 1L,Cozinha,239.99,229.99,4.17
prd_815b38747487,Conjunto de Malha,Moda,86.5,82.9,4.17
prd_a17c779dd289,Gravador de Voz,Áudio,64.9,62.25,4.09
prd_bf94f6ee7033,Mochila Esportiva,Esporte,78.9,75.67,4.09
prd_06c19781c3db,Assadeira de Vidro,Cozinha,100.9,96.86,4.0
prd_90725b7ac0e8,Espelho de Parede,Casa,78.99,75.83,4.0
prd_f79cf82f8ee0,Caixa de Som JBL,Eletrônicos,219.9,211.11,4.0
prd_08611917c0ae,Relógio de Parede,Casa,105.99,101.75,4.0
prd_1974423eecee,Suporte para Monitor,Informática,164.5,157.92,4.0
prd_9f5272275347,Marcador de Texto,Acessórios,59.5,57.12,4.0
prd_11bf1703f8e9,Caixa de Som Portátil,Áudio,48.0,46.08,4.0
prd_2255432fabe7,Marcador de Texto,Acessórios,119.99,115.32,3.89
prd_7798c88cc490,Kit Utensílios de Cozinha,Cozinha,465.5,447.4,3.89
prd_d92ad43fa137,Smart TV 43 Polegadas,Eletrônicos,66.9,64.31,3.87
prd_8b22fd85d500,Garrafa Térmica 1L,Cozinha,324.99,312.42,3.87
prd_c29b93111bd9,Colar de Ouro,Acessórios,206.9,198.94,3.85
prd_23664e42a71c,Jogo de Toalhas,Casa,109.9,105.74,3.78
prd_07ff67746d02,Faqueiro Inox 12 Peças,Cozinha,316.99,305.1,3.75
prd_56e08463d21c,Tapete Persa,Casa,223.9,215.5,3.75
