data,receita,pedidos,itens,receita_media_movel_7d
2025-12-13,25786.56,100,150,25786.56
2025-12-14,40740.48,102,154,33263.52
2025-12-15,36409.09,100,163,34312.04
2025-12-16,30794.21,101,130,33432.58
2025-12-17,38109.98,101,137,34368.06
2025-12-18,28835.98,100,165,33446.05
2025-12-19,35881.13,101,150,33793.92
2025-12-20,38003.2,100,151,35539.15
2025-12-21,29553.94,100,141,33941.08
2025-12-22,39473.09,101,157,34378.79
2025-12-23,30490.2,101,141,34335.36
2025-12-24,32232.08,101,132,33495.66
2025-12-25,35367.74,100,147,34428.77
2025-12-26,25753.04,101,142,32981.9
2025-12-27,29902.4,100,134,31824.64
2025-12-28,34406.06,100,135,32517.8
2025-12-29,28902.55,100,150,31007.72
2025-12-30,28003.56,100,156,30652.49
2025-12-31,31969.91,100,135,30615.04
2026-01-01,40317.31,102,150,31322.12
2026-01-02,20639.06,101,128,30591.55
2026-01-03,36459.62,101,136,31528.3
2026-01-04,27312.53,102,142,30514.93
2026-01-05,30996.47,100,141,30814.07
2026-01-06,38841.22,100,142,32362.3
2026-01-07,36702.45,101,142,33038.38
2026-01-08,32326.13,101,141,31896.78
2026-01-09,28426.54,101,147,33009.28
2026-01-10,31033.6,101,142,32234.13
2026-01-11,28212.97,101,141,32362.77
